Shipment_ID,Order_ID,Customer_ID,Product_ID,Origin_Country,Destination_Country,Transport_Mode,Carrier,Order_Date,Shipping_Date,Planned_Arrival_Date,Actual_Arrival_Date,Delay_Days,Delay_Status,Delay_Reason,Shipment_Value,Priority_Level,Route
100000,283810,5456,1,UK,Brazil,Sea,MSC (Mediterranean Shipping Company),2023-08-17,2023-08-19,2023-08-27,2023-09-05,9,Delayed,Carrier Issues,7433.47,Medium,UK → Brazil
100001,204165,5122,3,USA,Netherlands,Air,British Airways (IAG),2024-09-08,2024-09-09,2024-09-20,2024-09-21,1,Delayed,Carrier Issues,32044.47,Medium,USA → Netherlands
100002,277236,6139,1,UK,Netherlands,Air,Air France-KLM (AFKLM),2024-03-08,2024-03-11,2024-03-24,2024-03-27,3,Delayed,Customs,16933.22,Medium,UK → Netherlands
100003,213396,5379,13,China,Netherlands,Sea,ONE (Ocean Network Express),2024-09-10,2024-09-13,2024-09-19,2024-10-03,14,Delayed,Documentation Issues,40680.88,Medium,China → Netherlands
100004,210328,7261,10,Netherlands,India,Road,Cargo Carriers,2024-01-06,2024-01-11,2024-01-22,2024-01-24,2,Delayed,Weather,4391.0,High,Netherlands → India
100005,237930,5326,8,Netherlands,UK,Air,Kenya Airways (KQ),2023-10-12,2023-10-16,2023-11-01,2023-11-02,1,Delayed,Customs,28393.39,High,Netherlands → UK
100006,287841,6093,3,Brazil,South Africa,Road,DHL,2024-06-30,2024-07-02,2024-07-12,2024-07-19,7,Delayed,Documentation Issues,29079.7,Low,Brazil → South Africa
100007,290198,7281,8,UK,USA,Sea,Maersk,2023-08-23,2023-08-24,2023-09-08,2023-09-18,10,Delayed,Documentation Issues,20812.82,High,UK → USA
100008,274341,8589,11,USA,Netherlands,Road,FedEx,2024-02-10,2024-02-14,2024-02-23,2024-02-24,1,Delayed,Port Congestion,11332.64,Low,USA → Netherlands
100009,273579,7207,9,UK,Brazil,Road,FedEx,2024-08-20,2024-08-24,2024-09-09,2024-09-13,4,Delayed,Customs,74802.11,High,UK → Brazil
100010,266784,7021,3,UK,Netherlands,Air,Emirates (EK),2023-06-06,2023-06-08,2023-06-26,2023-06-27,1,Delayed,Carrier Issues,5701.05,Medium,UK → Netherlands
100011,278104,6917,17,Germany,South Africa,Road,DHL,2024-11-27,2024-11-28,2024-12-11,2024-12-12,1,Delayed,Port Congestion,9254.86,Medium,Germany → South Africa
100012,220730,6858,1,UK,India,Road,FedEx,2024-05-27,2024-05-29,2024-06-06,2024-06-09,3,Delayed,Port Congestion,63283.53,Low,UK → India
100013,279818,5814,5,South Africa,Germany,Air,British Airways (IAG),2024-06-27,2024-06-28,2024-07-13,2024-07-13,0,On-Time,,37156.82,High,South Africa → Germany
100014,247576,8599,10,Germany,USA,Air,Etihad (EY),2024-08-03,2024-08-04,2024-08-11,2024-08-11,0,On-Time,,55161.16,High,Germany → USA
100015,299693,7181,5,USA,Germany,Road,FedEx,2024-07-16,2024-07-18,2024-07-31,2024-08-01,1,Delayed,Carrier Issues,65560.05,Medium,USA → Germany
100016,227760,8804,18,UK,Netherlands,Road,Cargo Carriers,2023-07-25,2023-07-28,2023-08-14,2023-08-14,0,On-Time,,74641.05,Low,UK → Netherlands
100017,248944,6794,17,India,China,Air,Etihad (EY),2023-08-19,2023-08-20,2023-09-04,2023-09-06,2,Delayed,Weather,44534.85,High,India → China
100018,277128,5902,1,China,Brazil,Road,Cargo Carriers,2023-03-02,2023-03-04,2023-03-11,2023-03-11,0,On-Time,,68001.08,Medium,China → Brazil
100019,209287,7105,8,Germany,India,Road,FedEx,2023-08-08,2023-08-13,2023-08-22,2023-08-22,0,On-Time,,54528.09,Low,Germany → India
100020,275525,6936,8,Netherlands,USA,Sea,PIL (Pacific International Lines),2023-07-14,2023-07-15,2023-07-23,2023-08-06,14,Delayed,Documentation Issues,27218.02,Medium,Netherlands → USA
100021,261213,8538,2,UK,USA,Road,Cargo Carriers,2023-04-11,2023-04-12,2023-04-29,2023-05-01,2,Delayed,Port Congestion,60243.85,High,UK → USA
100022,232591,5784,7,India,Netherlands,Sea,MSC (Mediterranean Shipping Company),2024-03-08,2024-03-10,2024-03-23,2024-03-30,7,Delayed,Documentation Issues,19485.68,High,India → Netherlands
100023,258082,8309,18,China,Netherlands,Air,Air France-KLM (AFKLM),2024-07-07,2024-07-08,2024-07-15,2024-07-15,0,On-Time,,69551.16,High,China → Netherlands
100024,221798,6664,16,India,Germany,Air,Kenya Airways (KQ),2023-03-02,2023-03-04,2023-03-21,2023-03-21,0,On-Time,,1159.5,Medium,India → Germany
100025,234760,8795,15,Germany,Brazil,Sea,COSCO,2024-11-08,2024-11-12,2024-11-21,2024-11-28,7,Delayed,Customs,22956.38,High,Germany → Brazil
100026,275914,8013,18,China,India,Road,FedEx,2023-02-28,2023-03-01,2023-03-21,2023-03-21,0,On-Time,,38210.93,Low,China → India
100027,220635,5232,17,China,UK,Air,Emirates (EK),2024-09-01,2024-09-02,2024-09-14,2024-09-16,2,Delayed,Documentation Issues,9871.61,Low,China → UK
100028,232271,7371,20,China,South Africa,Road,DHL,2024-03-05,2024-03-10,2024-03-25,2024-03-26,1,Delayed,Port Congestion,16115.18,Low,China → South Africa
100029,241180,5977,9,South Africa,Brazil,Air,Air France-KLM (AFKLM),2024-10-22,2024-10-25,2024-11-13,2024-11-14,1,Delayed,Port Congestion,69747.36,High,South Africa → Brazil
100030,201220,6877,20,Brazil,USA,Air,Emirates (EK),2024-07-04,2024-07-06,2024-07-19,2024-07-19,0,On-Time,,10801.79,Medium,Brazil → USA
100031,209016,8601,8,South Africa,Germany,Sea,MSC (Mediterranean Shipping Company),2024-03-24,2024-03-29,2024-04-12,2024-04-28,16,Delayed,Carrier Issues,73805.14,Low,South Africa → Germany
100032,269329,5032,18,Germany,UK,Road,DHL,2023-05-18,2023-05-21,2023-05-29,2023-05-31,2,Delayed,Weather,55938.83,High,Germany → UK
100033,235697,6154,20,USA,Netherlands,Road,FedEx,2023-07-28,2023-07-31,2023-08-20,2023-08-20,0,On-Time,,19582.97,High,USA → Netherlands
100034,212097,7598,14,Netherlands,India,Sea,Maersk,2023-01-04,2023-01-07,2023-01-16,2023-01-27,11,Delayed,Port Congestion,12957.07,Medium,Netherlands → India
100035,272309,7890,14,Brazil,China,Air,Emirates (EK),2023-03-19,2023-03-21,2023-03-27,2023-03-27,0,On-Time,,62760.03,Low,Brazil → China
100036,272420,5606,14,USA,Germany,Air,Qatar Airways (QR),2024-01-09,2024-01-10,2024-01-26,2024-01-28,2,Delayed,Customs,51472.93,Low,USA → Germany
100037,213473,6448,18,Netherlands,UK,Sea,COSCO,2023-06-08,2023-06-10,2023-06-20,2023-06-20,0,On-Time,,73239.25,High,Netherlands → UK
100038,254040,5101,6,UK,Brazil,Sea,PIL (Pacific International Lines),2024-11-16,2024-11-18,2024-12-01,2024-12-01,0,On-Time,,12780.64,Low,UK → Brazil
100039,214168,6566,2,Netherlands,Brazil,Sea,MSC (Mediterranean Shipping Company),2023-07-24,2023-07-28,2023-08-13,2023-08-20,7,Delayed,Port Congestion,61719.69,High,Netherlands → Brazil
